Date,District,Total_Fish_Landing_Tonnes,Indian_Mackerel_Tonnes,Oil_Sardine_Tonnes,Horse_Mackerel_Tonnes,Lesser_Sardine_Tonnes,Sea_Surface_Temperature_C,Wave_Height_m,Wave_Period_s,Wind_Speed_mps,Salinity_PSU,Dissolved_Oxygen_mg_L,pH_Level,Air_Pressure_hPa,Chlorophyll_a_mg_m3
2019-05-01,Palghar,1977.08,930.47,581.49,680.67,692.87,30.24,1.1,10.14,13.47,35.98,6.4,8.11,1014.77,2.114
2019-08-01,Palghar,1082.94,1185.53,832.01,581.21,134.38,25.31,3.95,8.8,2.19,34.76,5.13,8.12,1009.65,1.262
2019-12-01,Mumbai,3848.23,1185.23,706.61,135.63,464.96,25.48,3.16,6.14,14.67,34.87,5.02,7.52,1008.58,0.848
2019-01-13,Thane,788.99,1138.39,187.26,646.74,484.56,24.98,3.49,4.91,7.41,34.3,5.96,8.42,1006.65,2.255
2019-01-17,Raigad,1050.84,201.06,136.1,791.43,321.86,30.65,3.12,4.46,8.23,35.84,5.19,8.27,1005.42,1.149
2019-01-28,Thane,2460.95,231.4,768.9,537.84,203.2,30.83,2.66,3.76,3.16,36.44,7.97,8.13,1005.74,2.381
2019-07-02,Mumbai,3579.16,435.06,248.37,729.85,482.12,30.46,1.42,6.63,3.31,33.03,6.7,7.52,1011.53,1.915
2019-02-15,Palghar,1234.7,413.11,79.47,380.25,553.45,28.33,2.37,6.8,7.31,33.87,7.01,8.19,1008.04,2.192
2019-02-20,Mumbai,2953.81,1120.52,922.47,335.04,99.78,25.65,2.68,11.68,9.64,35.64,6.65,8.47,1005.25,1.139
2019-02-21,Mumbai,2651.44,986.87,112.9,64.29,583.02,27.42,2.5,3.56,4.04,34.19,5.18,8.24,1011.44,2.131
2019-02-26,Raigad,969.1,1009.98,424.9,184.96,56.14,25.62,0.76,8.48,8.78,36.29,5.25,8.43,1007.75,1.202
2019-10-03,Sindhudurg,1133.96,815.36,878.26,793.08,386.3,30.63,1.63,9.81,11.53,33.81,5.47,8.19,1010.82,2.151
2019-03-14,Sindhudurg,865.05,105.07,612.12,542.47,679.62,30.24,0.98,8.44,2.97,33.36,6.44,8.32,1010.81,1.296
2019-03-15,Thane,3541.52,260.62,129.31,106.39,243.93,26.51,3.14,6.69,14.0,36.71,7.86,7.98,1012.6,0.871
2019-03-21,Raigad,3604.21,826.69,273.01,474.68,402.05,27.76,2.63,6.1,7.94,33.56,5.29,8.49,1008.44,2.424
2019-04-04,Raigad,2375.42,953.94,130.31,660.89,181.7,26.4,2.16,9.74,4.04,34.86,5.73,8.17,1006.57,1.487
2019-09-04,Palghar,3715.15,554.96,547.07,657.65,374.08,28.82,3.11,7.03,10.33,34.12,7.63,7.71,1013.35,2.272
2019-04-18,Ratnagiri,2014.29,1048.28,114.78,378.65,185.44,25.89,2.44,7.01,8.06,33.1,7.9,7.96,1008.59,0.566
2019-03-05,Raigad,3574.42,674.71,363.62,584.21,550.55,31.01,2.47,6.6,6.91,34.15,6.08,7.61,1013.66,1.325
2019-06-05,Palghar,1412.87,927.57,267.99,666.48,127.58,26.38,1.88,11.81,4.75,34.03,5.89,8.21,1008.26,0.548
2019-05-15,Ratnagiri,3795.83,210.25,247.52,65.97,615.5,27.83,3.46,6.28,11.1,35.07,6.29,8.29,1010.55,1.865
2019-05-21,Raigad,612.68,277.1,913.28,309.82,646.17,24.57,2.1,11.46,14.35,36.49,7.73,8.0,1012.77,0.944
2019-05-25,Thane,901.79,636.38,56.92,334.31,312.31,29.86,2.23,6.02,5.92,36.31,6.03,7.7,1005.51,1.367
2019-05-28,Thane,1505.58,946.62,384.15,374.88,178.22,31.34,2.39,4.26,5.71,35.25,6.49,8.23,1008.86,0.733
2019-02-06,Ratnagiri,2783.34,611.63,871.68,293.81,433.69,26.27,0.5,4.74,12.11,36.19,5.67,8.14,1007.38,0.775
2019-08-06,Sindhudurg,3829.0,681.87,265.98,426.47,501.99,25.85,1.22,8.98,4.06,35.64,6.51,7.7,1005.82,2.277
2019-12-06,Ratnagiri,646.84,264.62,399.02,511.02,361.8,29.62,0.99,5.8,3.67,36.75,5.62,8.12,1006.07,2.21
2019-06-13,Sindhudurg,3007.72,862.47,923.13,478.67,417.03,25.25,1.35,3.54,6.54,34.81,7.98,8.25,1011.67,0.67
2019-06-30,Sindhudurg,4345.36,764.73,535.3,480.4,571.46,30.46,2.47,9.71,7.61,34.21,6.25,8.13,1005.29,1.552
2019-04-07,Mumbai,3817.04,683.47,241.01,461.46,242.14,27.8,1.31,10.38,10.36,34.45,7.64,8.14,1013.0,0.676
2019-05-07,Raigad,1350.43,265.9,181.94,756.07,110.85,26.59,1.38,9.43,7.22,36.85,5.4,8.27,1014.06,0.918
2019-07-07,Mumbai,4840.21,886.21,82.81,405.94,32.16,26.62,1.2,4.94,6.42,35.04,7.3,8.06,1010.71,1.414
2019-12-07,Sindhudurg,1895.08,938.66,379.16,742.63,198.37,25.93,1.14,7.59,5.22,35.69,5.17,8.16,1005.31,1.209
2019-07-26,Sindhudurg,4100.78,691.79,393.2,372.83,272.72,25.51,2.8,10.32,11.45,34.84,7.27,8.48,1008.95,1.124
2019-07-08,Palghar,1652.17,276.24,843.37,583.49,222.48,28.92,3.29,7.43,9.96,34.92,7.07,7.67,1007.71,2.248
2019-08-17,Ratnagiri,704.89,842.78,303.27,56.56,693.69,27.78,1.11,4.91,3.05,33.42,5.33,8.17,1011.87,0.593
2019-08-22,Ratnagiri,4556.78,1114.4,770.54,32.76,475.45,31.48,3.5,11.47,11.62,36.45,7.21,7.5,1006.73,0.721
2019-08-23,Palghar,2612.88,802.78,427.73,423.73,363.36,26.43,3.74,4.94,8.24,34.12,7.51,8.33,1006.08,2.302
2019-08-31,Ratnagiri,1632.56,538.57,561.31,447.05,267.74,29.53,3.39,10.01,2.86,34.23,7.41,7.56,1012.74,1.203
2019-01-09,Ratnagiri,846.05,1171.35,956.58,167.08,147.61,31.16,1.54,4.25,8.2,36.4,6.18,7.65,1005.01,1.843
2019-07-09,Raigad,2209.39,428.48,480.7,475.78,334.99,29.26,2.34,3.72,5.36,36.4,5.29,7.73,1014.45,0.722
2019-09-18,Ratnagiri,832.92,499.46,465.63,285.0,539.46,30.69,2.7,11.56,12.45,35.15,6.1,8.15,1014.66,0.539
2019-09-19,Palghar,4031.71,1000.59,718.87,644.53,581.4,28.35,3.56,8.27,7.6,34.47,6.97,8.35,1013.71,0.645
2019-01-10,Sindhudurg,727.0,650.12,538.09,386.46,226.6,26.74,0.86,6.36,4.23,34.12,7.5,7.71,1006.59,1.243
2019-03-10,Mumbai,1515.67,443.14,386.27,294.3,561.54,29.59,3.14,5.27,2.79,33.75,7.79,8.08,1011.26,0.51
